accession,gene,length,protein_name
Q5T0W9,FAM83B,1011,Protein FAM83B
Q5T124,UBXN11,520,UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)
Q5T160,RARS2,578,"Probable arginine--tRNA ligase, mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"
Q5T197,DCST1,706,E3 ubiquitin-protein ligase DCST1 (EC 2.3.2.27) (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase)
Q5T1B0,AXDND1,1012,Axonemal dynein light chain domain-containing protein 1
Q5T1C6,THEM4,240,Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Carboxyl-terminal modulator protein) (Thioesterase superfamily member 4)
Q5T1H1,EYS,3165,Protein eyes shut homolog (Epidermal growth factor-like protein 10) (EGF-like protein 10) (Epidermal growth factor-like protein 11) (EGF-like protein 11) (Protein spacemaker homolog)
Q5T1M5,FKBP15,1219,FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)
Q5T1R4,HIVEP3,2406,Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)
Q5T1V6,DDX59,619,Probable ATP-dependent RNA helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5)
Q5T200,ZC3H13,1668,Zinc finger CCCH domain-containing protein 13
Q5T230,UTF1,341,Undifferentiated embryonic cell transcription factor 1
Q5T280,SPOUT1,376,28S rRNA (uridine-N(3))-methyltransferase (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (Methyltransferase C9orf114) (Ribosomal RNA methyltransferase SPOUT1) (SPOUT domain-containing methyltransferase 1)
Q5T2D2,TREML2,321,Trem-like transcript 2 protein (TLT-2) (Triggering receptor expressed on myeloid cells-like protein 2)
Q5T2D3,OTUD3,398,OTU domain-containing protein 3 (EC 3.4.19.12)
Q5T2R2,PDSS1,415,All trans-polyprenyl-diphosphate synthase PDSS1 (All-trans-decaprenyl-diphosphate synthase subunit 1) (EC 2.5.1.91) (Decaprenyl pyrophosphate synthase subunit 1) (Decaprenyl-diphosphate synthase subunit 1) (Solanesyl-diphosphate synthase subunit 1) (Trans-prenyltransferase 1) (TPT 1)
Q5T2S8,ODAD2,1044,Outer dynein arm-docking complex subunit 2 (Armadillo repeat-containing protein 4)
Q5T2T1,MPP7,576,MAGUK p55 subfamily member 7
Q5T2W1,PDZK1,519,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 (NHERF-3) (CFTR-associated protein of 70 kDa) (Na(+)/H(+) exchanger regulatory factor 3) (Na/Pi cotransporter C-terminal-associated protein 1) (NaPi-Cap1) (PDZ domain-containing protein 1) (Sodium-hydrogen exchanger regulatory factor 3)
Q5T3F8,TMEM63B,832,Mechanosensitive cation channel TMEM63B (Transmembrane protein 63B) (hTMEM63B)
Q5T3J3,LRIF1,769,Ligand-dependent nuclear receptor-interacting factor 1 (HP1-binding protein enriched in inactive X chromosome protein 1) (HBiX1) (Receptor-interacting factor 1)
Q5T3U5,ABCC10,1492,ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)
Q5T440,IBA57,356,"Iron-sulfur cluster assembly factor IBA57, mitochondrial (Iron-sulfur cluster assembly factor homolog)"
Q5T442,GJC2,439,Gap junction gamma-2 protein (Connexin-46.6) (Cx46.6) (Connexin-47) (Cx47) (Gap junction alpha-12 protein)
Q5T447,HECTD3,861,E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)
Q5T481,RBM20,1227,RNA-binding protein 20 (RNA-binding motif protein 20)
Q5T4B2,CERCAM,595,Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)
Q5T4D3,TMTC4,741,Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 4) (Transmembrane and tetratricopeptide repeat-containing 4)
Q5T4F4,ZFYVE27,411,Protrudin (Spastic paraplegia 33 protein) (Zinc finger FYVE domain-containing protein 27)
Q5T4F7,SFRP5,317,Secreted frizzled-related protein 5 (sFRP-5) (Frizzled-related protein 1b) (FRP-1b) (Secreted apoptosis-related protein 3) (SARP-3)
Q5T4S7,UBR4,5183,E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (p600) (N-recognin-4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600)
Q5T4T6,SYCP2L,812,Synaptonemal complex protein 2-like (SCP-2-like) (145 kDa nucleolar protein homolog) (hsNO145)
Q5T4W7,ARTN,220,Artemin (Enovin) (Neublastin)
Q5T5A4,CFAP276,169,Cilia- and flagella-associated protein 276
Q5T5A8,LCE3C,94,Late cornified envelope protein 3C (Late envelope protein 15) (Small proline-rich-like epidermal differentiation complex protein 3A)
Q5T5B0,LCE3E,92,Late cornified envelope protein 3E (Late envelope protein 17)
Q5T5C0,STXBP5,1151,Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)
Q5T5P2,KIAA1217,1943,Sickle tail protein homolog
Q5T5U3,ARHGAP21,1958,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21)
Q5T5X7,BEND3,828,BEN domain-containing protein 3
Q5T5Y3,CAMSAP1,1602,Calmodulin-regulated spectrin-associated protein 1
Q5T601,ADGRF1,910,"Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) [Cleaved into: Adhesion G-protein coupled receptor F1, N-terminal fragment (ADGRF1 N-terminal fragment); Adhesion G-protein coupled receptor F1, C-terminal fragment (ADGRF1 C-terminal fragment)]"
Q5T619,ZNF648,568,Zinc finger protein 648
Q5T655,CFAP58,872,Cilia- and flagella-associated protein 58 (Coiled-coil domain-containing protein 147)
Q5T686,AVPI1,147,Arginine vasopressin-induced protein 1 (AVP-induced protein 1)
Q5T6F0,DCAF12,453,DDB1- and CUL4-associated factor 12 (Centrosome-related protein TCC52) (Testis cancer centrosome-related protein) (WD repeat-containing protein 40A)
Q5T6F2,UBAP2,1119,Ubiquitin-associated protein 2 (UBAP-2) (RNA polymerase II degradation factor UBAP2)
Q5T6S3,PHF19,580,PHD finger protein 19 (Polycomb-like protein 3) (hPCL3)
Q5T6V5,QNG1,341,Queuosine 5'-phosphate N-glycosylase/hydrolase (EC 3.2.2.-) (Q-nucleotide N-glycosylase 1) (Queuine salvage protein QNG1) (Queuosine-nucleotide N-glycosylase/hydrolase)
Q5T6X5,GPRC6A,926,G-protein coupled receptor family C group 6 member A (hGPRC6A) (G-protein coupled receptor GPCR33) (hGPCR33)
Q5T700,LDLRAD1,205,Low-density lipoprotein receptor class A domain-containing protein 1
Q5T749,KPRP,579,Keratinocyte proline-rich protein (hKPRP)
Q5T751,LCE1C,118,Late cornified envelope protein 1C (Late envelope protein 3)
Q5T752,LCE1D,114,Late cornified envelope protein 1D (Late envelope protein 4)
Q5T753,LCE1E,118,Late cornified envelope protein 1E (Late envelope protein 5)
Q5T754,LCE1F,118,Late cornified envelope protein 1F (Late envelope protein 6)
Q5T7B8,KIF24,1368,Kinesin-like protein KIF24
Q5T7M4,C1QTNF12,302,Adipolin (Adipose-derived insulin-sensitizing factor) (C1q and TNF related protein 12) (Complement C1q tumor necrosis factor-related protein 12) [Cleaved into: Adipolin fC1QTNF12 (Adipolin fCTRP12) (Adipolin full-length form); Adipolin gC1QTNF12 (Adipolin cleaved form) (Adipolin gCTRP12)]
Q5T7N3,KANK4,995,KN motif and ankyrin repeat domain-containing protein 4 (Ankyrin repeat domain-containing protein 38)
Q5T7P2,LCE1A,110,Late cornified envelope protein 1A (Late envelope protein 1)
Q5T7P3,LCE1B,118,Late cornified envelope protein 1B (Late envelope protein 2) (Small proline-rich-like epidermal differentiation complex protein 2A)
Q5T7P8,SYT6,510,Synaptotagmin-6 (Synaptotagmin VI) (SytVI)
Q5T7V8,GORAB,369,RAB6-interacting golgin (N-terminal kinase-like-binding protein 1) (NTKL-BP1) (NTKL-binding protein 1) (hNTKL-BP1) (SCY1-like 1-binding protein 1) (SCYL1-BP1) (SCYL1-binding protein 1)
Q5T7W0,ZNF618,954,Zinc finger protein 618
Q5T7W7,TSTD2,516,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2 (Rhodanese domain-containing protein 2)
Q5T848,GPR158,1215,Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158)
Q5T890,ERCC6L2,1561,DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like) (Excision repair cross-complementation group 6-like 2)
Q5T8A7,PPP1R26,1209,Protein phosphatase 1 regulatory subunit 26
Q5T8D3,ACBD5,534,Acyl-CoA-binding domain-containing protein 5
Q5T8I9,HENMT1,393,Small RNA 2'-O-methyltransferase (EC 2.1.1.386) (HEN1 methyltransferase homolog 1)
Q5T8P6,RBM26,1007,RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26)
Q5T9A4,ATAD3B,648,ATPase family AAA domain-containing protein 3B (AAA-TOB3)
Q5T9C2,EEIG1,384,Early estrogen-induced gene 1 protein (EEIG1)
Q5T9C9,PIP5KL1,394,Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (PI(4)P 5-kinase-like protein 1) (PtdIns(4)P-5-kinase-like protein 1) (EC 2.7.1.68)
Q5T9G4,ARMC12,340,Armadillo repeat-containing protein 12
Q5T9L3,WLS,541,Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373)
Q5TA31,RNF187,235,E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187)
Q5TA45,INTS11,600,Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68)
Q5TA50,CPTP,214,Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)
Q5TA76,LCE3A,89,Late cornified envelope protein 3A (Late envelope protein 13)
Q5TA77,LCE3B,95,Late cornified envelope protein 3B (Late envelope protein 14)
Q5TA78,LCE4A,99,Late cornified envelope protein 4A (Late envelope protein 8) (Small proline-rich-like epidermal differentiation complex protein 4A)
Q5TA79,LCE2A,106,Late cornified envelope protein 2A (Late envelope protein 9)
Q5TA81,LCE2C,110,Late cornified envelope protein 2C (Late envelope protein 11)
Q5TA82,LCE2D,110,Late cornified envelope protein 2D (Late envelope protein 12) (Small proline-rich-like epidermal differentiation complex protein 1A)
Q5TA89,HES5,166,Transcription factor HES-5 (Class B basic helix-loop-helix protein 38) (bHLHb38) (Hairy and enhancer of split 5)
Q5TAB7,RIPPLY2,128,Protein ripply2
Q5TAP6,UTP14C,766,U3 small nucleolar RNA-associated protein 14 homolog C
Q5TAQ9,DCAF8,597,DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)
Q5TAT6,COL13A1,717,Collagen alpha-1(XIII) chain (COLXIIIA1)
Q5TAX3,TUT4,1644,Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)
Q5TB30,DEPDC1,811,DEP domain-containing protein 1A
Q5TB80,CEP162,1403,Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog)
Q5TBA9,FRY,3013,Protein furry homolog
Q5TBB1,RNASEH2B,312,Ribonuclease H2 subunit B (RNase H2 subunit B) (Aicardi-Goutieres syndrome 2 protein) (AGS2) (Deleted in lymphocytic leukemia 8) (Ribonuclease HI subunit B)
Q5TC82,RC3H1,1133,Roquin-1 (Roquin) (EC 2.3.2.27) (RING finger and C3H zinc finger protein 1) (RING finger and CCCH-type zinc finger domain-containing protein 1) (RING finger protein 198)
Q5TCH4,CYP4A22,519,Cytochrome P450 4A22 (CYPIVA22) (Fatty acid omega-hydroxylase) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)
Q5TCM9,LCE5A,118,Late cornified envelope protein 5A (Late envelope protein 18) (Small proline-rich-like epidermal differentiation complex protein 5A)
Q5TCQ9,MAGI3,1481,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)"
Q5TCS8,AK9,1911,Adenylate kinase 9 (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2)
Q5TCX8,MAP3K21,1036,Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)
Q5TCY1,TTBK1,1321,Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)
Q5TCZ1,SH3PXD2A,1133,SH3 and PX domain-containing protein 2A (Adapter protein TKS5) (Five SH3 domain-containing protein) (SH3 multiple domains protein 1) (Tyrosine kinase substrate with five SH3 domains)
Q5TD94,RSPH4A,716,Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3)
Q5TD97,FHL5,284,Four and a half LIM domains protein 5 (FHL-5) (Activator of cAMP-responsive element modulator in testis) (Activator of CREM in testis)
Q5TDH0,DDI2,399,Protein DDI1 homolog 2 (EC 3.4.23.-)
Q5TEJ8,THEMIS2,643,Protein THEMIS2 (Induced by contact to basement membrane 1 protein) (Protein ICB-1) (Thymocyte-expressed molecule involved in selection protein 2)
Q5TEU4,NDUFAF5,345,"Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)"
Q5TGU0,TSPO2,170,Translocator protein 2 (Peripheral-type benzodiazepine receptor-like protein 1)
Q5TGY3,AHDC1,1603,Transcription factor Gibbin (AT-hook DNA-binding motif-containing protein 1)
Q5TGZ0,MICOS10,78,MICOS complex subunit MIC10 (Mitochondrial inner membrane organizing system protein 1)
Q5THJ4,VPS13D,4388,Intermembrane lipid transfer protein VPS13D (Vacuolar protein sorting-associated protein 13D)
Q5THR3,EFCAB6,1501,EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)
Q5TIA1,MEI1,1274,Meiosis inhibitor protein 1 (Meiosis defective protein 1)
Q5TID7,CCDC181,509,Coiled-coil domain-containing protein 181
Q5TKA1,LIN9,542,Protein lin-9 homolog (HuLin-9) (hLin-9) (Beta subunit-associated regulator of apoptosis) (TUDOR gene similar protein) (Type I interferon receptor beta chain-associated protein) (pRB-associated protein)
Q5TZA2,CROCC,2017,Rootletin (Ciliary rootlet coiled-coil protein)
Q5TZF3,ANKRD45,266,Ankyrin repeat domain-containing protein 45
Q5U5Q3,MEX3C,659,RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING finger protein 194) (RING-type E3 ubiquitin transferase MEX3C)
Q5U5X0,LYRM7,104,Complex III assembly factor LYRM7 (LYR motif-containing protein 7)
Q5U5Z8,AGBL2,902,Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2) (Protein deglutamylase CCP2)
Q5U651,RASIP1,963,Ras-interacting protein 1 (Rain)
Q5UCC4,EMC10,262,ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)
Q5UE93,PIK3R6,754,Phosphoinositide 3-kinase regulatory subunit 6 (Phosphoinositide 3-kinase gamma adapter protein of 87 kDa) (p84 PI3K adapter protein) (p84 PIKAP) (p87 PI3K adapter protein) (p87PIKAP)
Q5UIP0,RIF1,2472,Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)
Q5VIR6,VPS53,832,Vacuolar protein sorting-associated protein 53 homolog
Q5VSL9,STRIP1,837,Striatin-interacting protein 1 (Protein FAM40A)
Q5VST6,ABHD17B,288,Alpha/beta hydrolase domain-containing protein 17B (Abhydrolase domain-containing protein 17B) (EC 3.1.2.22)
Q5VST9,OBSCN,7968,Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)
Q5VSY0,GKAP1,366,G kinase-anchoring protein 1 (cGMP-dependent protein kinase-anchoring protein of 42 kDa)
Q5VT06,CEP350,3117,Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa)
Q5VT25,CDC42BPA,1732,Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)
Q5VT52,RPRD2,1461,Regulation of nuclear pre-mRNA domain-containing protein 2
Q5VT66,MTARC1,337,Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1) (MOSC domain-containing protein 1) (Moco sulfurase C-terminal domain-containing protein 1)
Q5VT99,LRRC38,294,Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38)
Q5VTB9,RNF220,566,E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220)
Q5VTD9,GFI1B,330,Zinc finger protein Gfi-1b (Growth factor independent protein 1B) (Potential regulator of CDKN1A translocated in CML)
Q5VTE6,ANGEL2,544,"RNA 2',3'-cyclic phosphatase ANGEL2 (EC 3.-.-.-)"
Q5VTH2,CFAP126,177,Protein Flattop (Cilia- and flagella-associated protein 126)
Q5VTR2,RNF20,975,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)
Q5VTT2,CFAP95,229,Cilia- and flagella-associated protein 95
Q5VTT5,MYOM3,1437,Myomesin-3 (Myomesin family member 3)
Q5VTY9,HHAT,493,Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Melanoma antigen recognized by T-cells 2) (MART-2) (Skinny hedgehog protein 1)
Q5VU43,PDE4DIP,2346,Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)
Q5VU57,AGBL4,503,Cytosolic carboxypeptidase 6 (EC 3.4.17.24) (ATP/GTP-binding protein-like 4) (Protein deglutamylase CCP6)
Q5VUA4,ZNF318,2279,Zinc finger protein 318 (Endocrine regulatory protein)
Q5VUB5,FAM171A1,890,Protein FAM171A1 (Astroprincin) (APCN)
Q5VUG0,SFMBT2,894,Scm-like with four MBT domains protein 2 (Scm-like with 4 MBT domains protein 2)
Q5VUM1,SDHAF4,108,"Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4)"
Q5VV41,ARHGEF16,709,Rho guanine nucleotide exchange factor 16 (Ephexin-4)
Q5VV42,CDKAL1,579,Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase)
Q5VV43,KIAA0319,1072,Dyslexia-associated protein KIAA0319
Q5VV63,ATRNL1,1379,Attractin-like protein 1
Q5VV67,PPRC1,1664,Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)
Q5VVJ2,MYSM1,828,"Deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)"
Q5VVQ6,YOD1,348,Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)
Q5VVX9,UBE2U,321,Ubiquitin-conjugating enzyme E2 U (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme U) (Ubiquitin carrier protein U) (Ubiquitin-protein ligase U)
Q5VVY1,NTMT2,283,N-terminal Xaa-Pro-Lys N-methyltransferase 2 (EC 2.1.1.299) (Alpha N-terminal protein methyltransferase 1B) (Methyltransferase-like protein 11B) (X-Pro-Lys N-terminal protein methyltransferase 1B) (NTM1B)
Q5VW32,BROX,411,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein)
Q5VW36,FOCAD,1801,Focadhesin
Q5VW38,GPR107,600,Protein GPR107 (Lung seven transmembrane receptor 1)
Q5VWC8,HACD4,232,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 4) (HACD4) (Protein-tyrosine phosphatase-like A domain-containing protein 2)
Q5VWG9,TAF3,929,Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140)
Q5VWJ9,SNX30,437,Sorting nexin-30
Q5VWK5,IL23R,629,Interleukin-23 receptor (IL-23 receptor) (IL-23R)
Q5VWN6,TASOR2,2430,Protein TASOR 2
Q5VWP2,TENT5C,391,Terminal nucleotidyltransferase 5C (EC 2.7.7.19) (Non-canonical poly(A) polymerase FAM46C)
Q5VWP3,MLIP,993,Muscular LMNA-interacting protein (Cardiac Isl1-interacting protein) (CIP) (Muscular-enriched A-type laminin-interacting protein)
Q5VWQ8,DAB2IP,1189,Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)
Q5VWT5,FYB2,728,"FYN-binding protein 2 (Activation-dependent, raft-recruited ADAP-like phosphoprotein)"
Q5VWX1,KHDRBS2,349,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 (Sam68-like mammalian protein 1) (SLM-1) (hSLM-1)"
Q5VWZ2,LYPLAL1,237,Lysophospholipase-like protein 1 (EC 3.1.2.22)
Q5VX71,SUSD4,490,Sushi domain-containing protein 4
Q5VXI9,LIPN,398,Lipase member N (EC 3.1.1.13) (EC 3.1.1.3) (Lipase-like abhydrolase domain-containing protein 4)
Q5VXU9,SHOC1,1444,Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-) (Protein ZIP2 homolog) (MZIP2)
Q5VY09,IER5,327,Immediate early response gene 5 protein
Q5VY43,PEAR1,1037,Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)
Q5VY80,RAET1L,246,UL16-binding protein 6 (Retinoic acid early transcript 1L protein)
Q5VYJ5,MALRD1,2156,MAM and LDL-receptor class A domain-containing protein 1
Q5VYK3,ECPAS,1845,Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)
Q5VYS8,TUT7,1495,Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)
Q5VYX0,RNLS,342,Renalase (EC 1.6.3.5) (Monoamine oxidase-C) (MAO-C)
Q5VYY2,LIPM,423,Lipase member M (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 3)
Q5VZ89,DENND4C,1909,DENN domain-containing protein 4C
Q5VZE5,NAA35,725,"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Embryonic growth-associated protein homolog) (Protein MAK10 homolog)"
Q5VZF2,MBNL2,373,Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)
Q5VZK9,CARMIL1,1371,"F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)"
Q5VZL5,ZMYM4,1548,Zinc finger MYM-type protein 4 (Zinc finger protein 262)
Q5VZM2,RRAGB,374,Ras-related GTP-binding protein B (Rag B) (RagB) (EC 3.6.5.-)
Q5VZV1,METTL21C,264,Protein-lysine methyltransferase METTL21C (EC 2.1.1.-) (Methyltransferase-like protein 21C)
Q5VZY2,PLPP4,271,Phospholipid phosphatase 4 (EC 3.1.3.4) (EC 3.6.1.75) (Phosphatidic acid phosphatase type 2 domain-containing protein 1A)
Q5W041,ARMC3,872,Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)
Q5W0B1,OBI1,726,ORC ubiquitin ligase 1 (OBI1) (EC 2.3.2.27) (RING finger protein 219)
Q5W0Q7,USPL1,1092,SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1) (USP-like 1)
Q5W0Z9,ZDHHC20,365,Palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Acyltransferase ZDHHC20) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 20) (DHHC20) (Zinc finger DHHC domain-containing protein 20)
Q5W111,SPRYD7,196,SPRY domain-containing protein 7 (Chronic lymphocytic leukemia deletion region gene 6 protein) (CLL deletion region gene 6 protein)
Q5W5X9,TTC23,447,Tetratricopeptide repeat protein 23 (TPR repeat protein 23) (Cervical cancer proto-oncogene 8 protein) (HCC-8)
Q5XG87,TENT4A,792,Terminal nucleotidyltransferase 4A (DNA polymerase sigma) (LAK-1) (Non-canonical poly(A) RNA polymerase PAPD7) (EC 2.7.7.19) (PAP-associated domain-containing protein 7) (TRAMP-like complex polyadenylate polymerase) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 5) (TUTase 5) (Topoisomerase-related function protein 4-1) (TRF4-1)
Q5XKE5,KRT79,535,"Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)"
Q5XKL5,BTBD8,1792,BTB/POZ domain-containing protein 8 (AP2-interacting clathrin-endocytosis) (APache)
Q5XKP0,MICOS13,118,MICOS complex subunit MIC13 (Protein P117)
Q5XKR4,OTP,325,Homeobox protein orthopedia
Q5XLA6,CARD17P,110,Putative caspase recruitment domain-containing protein 17P (Caspase-1 inhibitor INCA) (Inhibitory caspase recruitment domain protein)
Q5XPI4,RNF123,1314,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123)
Q5XUX0,FBXO31,539,F-box only protein 31
Q5XXA6,ANO1,986,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)
Q5ZPR3,CD276,534,CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276)
Q60I27,ALS2CL,953,ALS2 C-terminal-like protein
Q63HK5,TSHZ3,1081,Teashirt homolog 3 (Zinc finger protein 537)
